transliteration,translation
Enmeušumgalana I,nan
Enmešara I,nan
Enmul I,nan
Ennapšu I,nan
Ennet-Aššur I,nan
Ennugi I,nan
Ennugigi I,nan
Ensigalabzu I,nan
Ensimah I,nan
Entenamašhum I,nan
Enul I,nan
Enunmah I,nan
Enutila I,nan
Enzišusikila I,nan
Enzu I,nan
Enšaluluʾa I,nan
Enšar I,nan
Epa I,nan
Epada I,nan
Epadun I,nan
Epinnu I,nan
Equ I,nan
Erabriri I,nan
Erba-ilani I,nan
Erebu I,nan
Ereqqu I,nan
Ereqqu Ša Šame I,nan
Ereš-Issar I,nan
Ereš-ilu I,nan
Ereškigal I,nan
Erešu I,nan
Erib-ilani I,nan
Eriba I,nan
Eriba-Adad I,nan
Eriba-Aššur I,nan
Eriba-ilani I,nan
Eriba-ilu I,nan
Eribua I,nan
Eridayu I,nan
Eridu I,nan
Eridug I,nan
Erihi I,nan
Erimabinutuku I,nan
Eriš I,nan
Erkallu I,nan
Erra I,nan
Erra-dala I,nan
Erra-gamil I,nan
Erragal I,nan
Errakalkal I,nan
Eru I,nan
Erua I,nan
Erudi I,nan
Erṣet-La-Tari I,nan
Erṣetu I,nan
Esabad I,nan
Esaggil I,nan
Esaggil-kin-apli I,nan
Esaggil-kin-ubbib I,nan
Esapar I,nan
Esarhaddon I,nan
Esikil I,nan
Esiskur I,nan
Esu I,nan
Esuena I,nan
Esusugara I,nan
Etalak I,nan
Etana I,nan
Etarsirsir I,nan
Etel-Ištar I,nan
Etemenanki I,nan
Etemenniuru I,nan
Etilmun I,nan
Etinaya I,nan
Eturkalama I,nan
Eulhemešudu I,nan
Eulmaš I,nan
Eunir I,nan
Eunirkitušmah I,nan
Eura I,nan
Eursaga I,nan
Euruamaki I,nan
Euršaba I,nan
Evil-Merodach I,nan
Ezalaga I,nan
Ezbu I,nan
Ezbu-lešir I,nan
Ezi I,nan
Ezi-pašar I,nan
Eziat I,nan
Ezibatila I,nan
Ezida I,nan
Eziye I,nan
EzukešHUHU I,nan
Ešaba I,nan
Ešagara I,nan
Ešagmah I,nan
Ešapsu I,nan
Ešara I,nan
Ešarra I,nan
Ešbaranki I,nan
Ešerayu I,nan
Ešlilidiriga I,nan
Ešmah I,nan
Ešmah II,nan
Ešme-karab I,nan
Ešnuna I,nan
Ešrayu I,nan
Ešumeša I,nan
Eššeb I,nan
Eṣidayu I,nan
Eṭeru I,nan
Eṭir-Marduk I,nan
Eṭirtu I,nan
Eṭiru I,nan
Ga'u I,nan
Gabbu-amur I,nan
Gabbu-ana-Aššur I,nan
Gabbu-ilani I,nan
Gabbu-ilani-ereš I,nan
Gabbu-ina-qat-ili I,nan
Gallulu I,nan
Gamalu I,nan
Gambulaya I,nan
Gambulayu I,nan
Gambulu I,nan
Gamlu I,nan
Ganata I,nan
Garruṣu I,nan
Gasupi I,nan
Gimillu I,nan
Giritu I,nan
Giru I,nan
Gišnumunab I,nan
Gugu I,nan
Gunura I,nan
Guzummanu I,nan
Guzummanu II,nan
Gušur I,nan
Habanu I,nan
Habaṣiranu I,nan
Habbur-Issar I,nan
Habruri I,nan
Habur I,nan
Hahhuru I,nan
Hallaba I,nan
Hallabeše I,nan
Hallapaya I,nan
Hallataya I,nan
Haluʾa I,nan
Hamaṭuṭu I,nan
Hammu-rabi I,nan
Hammurapi I,nan
Hamu I,nan
Hamudu I,nan
Hamun I,nan
Hamunayu I,nan
Hamurnu I,nan
Hamurraya I,nan
Hamuru I,nan
Handuataya I,nan
Handuate I,nan
Hanunu I,nan
Hanunu-il I,nan
Hanuru I,nan
Haqu-neši I,nan
Hariruri I,nan
Harmaku I,nan
Harranu I,nan
Harranu II,nan
Harriru I,nan
Harru I,nan
Harruṣu I,nan
Haruranu I,nan
Haruṣa I,nan
Hasabu I,nan
Hasinu I,nan
Hasisu I,nan
Hasusi I,nan
Hazannu I,nan
Hazugu I,nan
Hašanu I,nan
Hašanu II,nan
Haṭṭušu-aldi I,nan
Hengallu I,nan
Heruṭusu I,nan
Hinnumu I,nan
Hiritu I,nan
Hubuškaya I,nan
Hubuškia I,nan
Hulalu I,nan
Hulutti I,nan
Hunnuru I,nan
Hunzu I,nan
Hunzudi I,nan
Hurrukidû I,nan
Hurruṣu I,nan
Husurayu I,nan
Huzalu I,nan
Huziru I,nan
Huṣurayu I,nan
I-maʾin I,nan
Iamanu I,nan
Iambar I,nan
Ibala I,nan
Ibašši-ilani I,nan
Ibašši-ilaʾi I,nan
Ibašši-ilu I,nan
Ibbi-Sin I,nan
Ibbi-Suen I,nan
Ibila-Emah I,nan
Ibla I,nan
Ibna-Ištar I,nan
Ibnaya I,nan
Ibni-Ištar I,nan
Ibni-Marduk I,nan
Ibtaš-lešir I,nan
Idamaraz I,nan
Idat-Anu I,nan
Iddati-Bel-allak I,nan
Iddi I,nan
Iddi-Meslamtaea I,nan
Iddin-Nabu I,nan
Iddin-Nergal I,nan
Iddin-ahhe I,nan
Iddin-ahi I,nan
Iddina-ahi I,nan
Iddinaya I,nan
Iddinunu I,nan
Iddiya I,nan
Idduʾa I,nan
Idiglat I,nan
Idimhuš I,nan
Idlurugu I,nan
Idraya I,nan
Idri-ahaʾu I,nan
Idrunu I,nan
Igalima I,nan
Igi I,nan
Igibarluti I,nan
Igigu I,nan
Iglanu I,nan
Igli I,nan
Ikitu I,nan
Ikkaru I,nan
Ikkilu I,nan
Iku I,nan
Il-Amurru I,nan
Il-Iau I,nan
Il-Il-milki I,nan
Il-Našuh-milki I,nan
Il-Qisu I,nan
Il-aba I,nan
Il-abu-riba I,nan
Il-amar I,nan
Il-bana I,nan
Il-dala I,nan
Il-dusu I,nan
Il-gabbe I,nan
Il-gabbiri I,nan
Il-gabri I,nan
Il-hanana I,nan
Il-iadini I,nan
Il-idri I,nan
Il-ili I,nan
Il-immi I,nan
Il-kabar I,nan
Il-la-bunda I,nan
Il-malak I,nan
Il-manani I,nan
Il-maʾadi I,nan
Il-milki I,nan
Il-natan I,nan
Il-nuri I,nan
Il-pada I,nan
Il-padi I,nan
Il-palṭi I,nan
Il-qatar I,nan
Il-suri I,nan
Il-taka I,nan
Il-tappa I,nan
Il-yadaʾ I,nan
Il-yadini I,nan
Il-yatanu I,nan
Il-šumki I,nan
Ila I,nan
Ila-eriba I,nan
Ilaba I,nan
Ilabbiašu I,nan
Ilaʾi-Adad I,nan
Ilaʾi-Bel I,nan
Ilba I,nan
Ileʾʾi-Marduk I,nan
Ilha I,nan
Ilhini I,nan
Ili-abrat I,nan
Ili-bani I,nan
Ilip I,nan
Iliyadaʾ I,nan
Illabani I,nan
Illat I,nan
Illaya I,nan
Illu I,nan
Illuknu I,nan
Illut-Anu I,nan
Ilti-bassi I,nan
Ilu-ahu-uṣur I,nan
Ilu-balassu-iqbi I,nan
Ilu-bani I,nan
Ilu-biʾdi I,nan
Ilu-dannu-ahšu-ibni I,nan
Ilu-deni-amur I,nan
Ilu-emuqaya I,nan
Ilu-ereš I,nan
Ilu-eriba I,nan
Ilu-ibni I,nan
Ilu-illika I,nan
Ilu-ipuš I,nan
Ilu-iqbi I,nan
Ilu-ittiya I,nan
Ilu-iṣbatanni I,nan
Ilu-kabar I,nan
Ilu-kenu-uṣur I,nan
Ilu-kettu-iram I,nan
Ilu-leʾi I,nan
Ilu-liphur I,nan
Ilu-mutaqqin I,nan
Ilu-mušezib I,nan
Ilu-naʾdi I,nan
Ilu-piya-uṣur I,nan
Ilu-remanni I,nan
Ilu-taklak I,nan
Ilu-tapputi I,nan
Ilu-ukallanni I,nan
Ilu-uṣur I,nan
Ilu-šezib I,nan
Ilu-šumu-kaʾʾin I,nan
Ilu-ṣabtanni I,nan
Ilumer I,nan
Ilumma-leʾi I,nan
Ilumma-lidgul I,nan
Ilumma-taklak I,nan
Ilussa I,nan
Ilšu-šarranni I,nan
Imaggar-qabuša I,nan
Imanni-il I,nan
Imannu I,nan
Imba I,nan
Imbi-Anu I,nan
Imbiya I,nan
Imgur-Illil I,nan
Immani-Aššur I,nan
Immaštašu I,nan
Imra I,nan
In-mati I,nan
Ina-qibi-Bel I,nan
Ina-qibi-Bel-abluṭ I,nan
Ina-qibit-Anu I,nan
Ina-teši-eṭir I,nan
Ina-šar-Aššur-allak I,nan
Ina-šar-Bel-allak I,nan
Ina-šar-Nabu-allak I,nan
Ina-šar-Nergal-allak I,nan
Ina-ṣilli-Taštimmu I,nan
Inana I,nan
Inanalal I,nan
Inba I,nan
Inbi-Aššur I,nan
Indabiya I,nan
Indi-Nergal I,nan
Indibi I,nan
Indu I,nan
Inimanizi I,nan
Innanni I,nan
Innin I,nan
Inurta I,nan
Inurta--xxx I,nan
Inurta-abu-uṣur I,nan
Inurta-ahu-iddina I,nan
Inurta-ahu-uṣur I,nan
Inurta-alik-pani I,nan
Inurta-aplu-iddina I,nan
Inurta-ašared I,nan
Inurta-bani-ahhe I,nan
Inurta-belu-uṣur I,nan
Inurta-ereš I,nan
Inurta-eṭiranni I,nan
Inurta-iddina I,nan
Inurta-ilaʾi I,nan
Inurta-isseʾa I,nan
Inurta-kenu-uṣur I,nan
Inurta-kibsi-uṣur I,nan
Inurta-mukin-niše I,nan
Inurta-mušezib I,nan
Inurta-nadin-ahi I,nan
Inurta-nadin-šumi I,nan
Inurta-naṣir I,nan
Inurta-raši I,nan
Inurta-remanni I,nan
Inurta-sukki I,nan
Inurta-taklak I,nan
Inurta-ubla I,nan
Inurta-zeru-uṣur I,nan
Inurta-šarru-uṣur I,nan
Inurta-šezibanni I,nan
Inurti I,nan
Inṣabri I,nan
Ipparšidu I,nan
Ipqu I,nan
Ipte-bitu I,nan
Iqbaya I,nan
Iqbi-Aššur I,nan
Iqbi-Bel I,nan
Iqbi-Bel II,nan
Iqbi-damiq I,nan
Iqbi-ilani I,nan
Iqbi-ilu I,nan
Iqisu I,nan
Iqiša I,nan
Iqiša-Marduk I,nan
Iqišanni I,nan
Iqišaya I,nan
Iqubu I,nan
Ira I,nan
Iragal I,nan
Irat Zuqaqipi I,nan
Irbuaya I,nan
Irhan I,nan
Irhan-GUL I,nan
Irigal I,nan
Irinanam I,nan
Irissi-ilani I,nan
Irmuna I,nan
Irnini I,nan
Irqingu I,nan
Irreʾa I,nan
Irri I,nan
Irtiašaya I,nan
Irtu I,nan
Irtukkanu I,nan
Irugga I,nan
Iršumu I,nan
Irʾanni I,nan
Irṣiṣu I,nan
Is Le I,nan
Isana I,nan
Isanaya I,nan
Isanayu I,nan
Isi I,nan
Isin I,nan
Isinnayu I,nan
Ispallure I,nan
Isputu I,nan
Issar-alik-pani I,nan
Issar-aplu-iddina I,nan
Issar-daʾʾininni I,nan
Issar-dur-qalli I,nan
Issar-duri I,nan
Issar-emuqaya I,nan
Issar-ereš I,nan
Issar-ilaʾi I,nan
Issar-iqiša I,nan
Issar-mašlalati I,nan
Issar-metu-balliṭ I,nan
Issar-mukinnia I,nan
Issar-nadin-ahhe I,nan
Issar-nadin-apli I,nan
Issar-naʾdi I,nan
Issar-naṣir-duri I,nan
Issar-paya I,nan
Issar-rabi I,nan
Issar-remanni I,nan
Issar-tariba I,nan
Issar-tazi I,nan
Issar-tašme I,nan
Issar-šarru-ibni I,nan
Issar-šimanni I,nan
Issar-šumu-ereš I,nan
Issar-šumu-iddina I,nan
Issar-šumu-iqiša I,nan
Issar-šumu-lešir I,nan
Issaran-belu-uṣur I,nan
Issaran-mesi I,nan
Issaran-mušallim I,nan
Issaran-zeru-ibni I,nan
Issaran-šumu-ukin I,nan
Issete I,nan
Issi-Adad-ahhutu I,nan
Istuandaya I,nan
Isu I,nan
Isu II,nan
Isuqaya I,nan
Ittannu I,nan
Itti-Adad-ahhutu I,nan
Itti-Adad-anenu I,nan
Itti-Anu-nuhšu I,nan
Itti-ilišu-balaṭu I,nan
Itti-Šamaš-balaṭu I,nan
Ituʾaya I,nan
Ituʾaya II,nan
Ituʾayu I,nan
Ituʾu I,nan
Iyaze I,nan
Izalla I,nan
Izirtu I,nan
Izuzu I,nan
Išar-lipissu I,nan
Išartu I,nan
Išbi-Erra I,nan
Išhara I,nan
Išhuru I,nan
Iši-milku I,nan
Iškur I,nan
Išmanni-Adad I,nan
Išmanni-Aššur I,nan
Išme-ilu I,nan
Išme-karab I,nan
Išta-Šer I,nan
Ištahup I,nan
Ištar I,nan
Ištar-Kakkabi I,nan
Ištar-ah-iddin I,nan
Ištar-hiṭua I,nan
Ištar-iqiša I,nan
Ištar-zer-ibni I,nan
Ištar-zer-iddin I,nan
Ištar-šum-ereš I,nan
Ištar-šum-lilbir I,nan
Ištar-šum-uṣur I,nan
Ištaran I,nan
Ištaran-mudammiq I,nan
Išullanu I,nan
Išum I,nan
Iṣiye I,nan
Iṣṣur I,nan
Kablu-Issar I,nan
Kabtu-il-Marduk I,nan
Kadammu I,nan
Kakkabu-Rabu I,nan
Kakku I,nan
Kakkullanu I,nan
Kakkussu I,nan
Kalbu I,nan
Kalitu I,nan
Kalumu I,nan
Kamasu I,nan
Kannu I,nan
Kannuʾ I,nan
Kannuʾaya I,nan
Kanunaya I,nan
Kanunayu I,nan
Kanunu I,nan
Karduniaš I,nan
Karkuga I,nan
Kayyamanu I,nan
Kaššu I,nan
Kaššudu I,nan
Ke-Aya I,nan
Ken-Adad I,nan
Ken-abua I,nan
Ken-abuʾa I,nan
Keni I,nan
Kenu-abuʾa I,nan
Kenu-ahhe I,nan
Kenu-ahu I,nan
Kenuʾa I,nan
Kephalon I,nan
Kettu-uṣur I,nan
Keš I,nan
Ki I,nan
Ki-Mama I,nan
Ki-lamši I,nan
Kiagakuga I,nan
Kiagazida I,nan
Kibabiše I,nan
Kibatki I,nan
Kibrat Erbetti I,nan
Kiburti I,nan
Kidin I,nan
Kidin-Anu I,nan
Kidin-Marduk I,nan
Kidin-ili I,nan
Kidin-Šamaš I,nan
Kidinni I,nan
Kidmuri I,nan
Kigir I,nan
Kiguhtu I,nan
Kilaku I,nan
Kilar I,nan
Kilibdaŋal I,nan
Kilili I,nan
Kilizaya I,nan
Kilizaya II,nan
Kilizi I,nan
Kimar I,nan
Kimumaya I,nan
Kimṣu I,nan
Kina I,nan
Kinanni-Issar I,nan
Kinaya I,nan
Kindazi I,nan
Kinihma I,nan
Kinma I,nan
Kinna I,nan
KinnuSUM I,nan
Kinunu I,nan
Kippatu I,nan
Kipre I,nan
Kipšuna I,nan
Kiqillanu I,nan
Kiribtu I,nan
Kiribtu-Aššur I,nan
Kirimah I,nan
Kirizalkalama I,nan
Kirmesi I,nan
Kisa I,nan
Kisalšaba I,nan
Kisigar I,nan
Kisiri I,nan
Kislimu I,nan
Kissik I,nan
Kissikaya I,nan
Kittu I,nan
Kitušhenuna I,nan
Kitušinimdugala I,nan
Kitušsilima I,nan
Kiunuga I,nan
Kizahasi I,nan
Kizalaga I,nan
Kiš I,nan
Kišar I,nan
Kišargal I,nan
Kišaya I,nan
Kišayu I,nan
Kišenšena I,nan
Kišqaya I,nan
Kišqaya II,nan
Kišu I,nan
Kiʾugu I,nan
Kiṣir-Aššur I,nan
Kiṣir-Issar I,nan
Kiṣir-Nabu I,nan
Kiṣir-šarri I,nan
Kiṣirtu I,nan
Kuar I,nan
Kubaba-ereš I,nan
Kubaba-ilaʾi I,nan
Kubaba-satar I,nan
Kubabu-ahu-iddina I,nan
Kubabu-ereš I,nan
Kubabu-eriba I,nan
Kubabu-ilaʾi I,nan
Kubabu-lunu I,nan
Kubabu-sapi I,nan
Kubanaše I,nan
Kubu I,nan
Kudana I,nan
Kudurranu I,nan
Kudurrišu I,nan
Kudurru I,nan
Kugsud I,nan
Kuisa I,nan
Kukab I,nan
Kukkullayu I,nan
Kukulu I,nan
Kulab I,nan
Kulaba I,nan
Kulaya I,nan
Kulbibi I,nan
Kulimmeri I,nan
Kulla I,nan
Kullab I,nan
Kullania I,nan
Kullulu I,nan
Kuluman I,nan
Kulumanaya I,nan
Kuluna I,nan
Kuluʾ-Issar I,nan
Kumesaya I,nan
Kummaya I,nan
Kummaya II,nan
Kumme I,nan
Kummuhaya I,nan
Kummuhi I,nan
Kuna I,nan
Kunasi I,nan
Kunaya I,nan
Kur I,nan
Kur-ilaʾi I,nan
Kurašuurur I,nan
Kurbail I,nan
Kurbailaya I,nan
Kurbanu I,nan
Kurgulgul I,nan
Kuri I,nan
Kuribba I,nan
Kurigalzu I,nan
Kurkura I,nan
Kurra-dimri I,nan
Kuruku I,nan
Kurunam I,nan
Kurʾe-Inurta I,nan
Kurʾe-nadin-ahi I,nan
Kurʾe-uballiṭ I,nan
Kusani I,nan
Kusaya I,nan
Kusayu I,nan
Kusibanda I,nan
Kusini I,nan
Kusisi I,nan
Kusitu I,nan
Kusu I,nan
Kusu II,nan
Kutaya I,nan
Kutayu I,nan
Kute I,nan
Kuti I,nan
Kuttia I,nan
Kutušar I,nan
Kuyaka I,nan
Kuza I,nan
Kuškaya I,nan
Kušu I,nan
Kuṣura I,nan
LUM-ma I,nan
La-abaši I,nan
La-amašši I,nan
La-amašši-Bel I,nan
La-baši I,nan
La-dagil-ili I,nan
La-gamal I,nan
La-qebu I,nan
La-qepu I,nan
La-tarak I,nan
La-teggi-Nanaya I,nan
La-teggi-ana-Issar I,nan
La-tubašanni I,nan
La-tubašanni-Adad I,nan
La-tubašanni-Dadi I,nan
La-tubašanni-Issar I,nan
La-tubašanni-ilu I,nan
La-ṣahittu I,nan
Labananu I,nan
Labarmu I,nan
Labasi I,nan
Labaši I,nan
Labaši-Marduk I,nan
Labaši-ili I,nan
Labaʾu I,nan
Labaṭi I,nan
Labbanat I,nan
Labdudaya I,nan
Labdudu I,nan
Labigaya I,nan
Labiraya I,nan
Laduqi I,nan
Laguda I,nan
Lahamu I,nan
Lahar I,nan
Lahiraya I,nan
Lahirayu I,nan
Lahiru I,nan
Lahmu I,nan
Lahru I,nan
Lahuratil I,nan
Laia I,nan
Lalgar I,nan
Laluru I,nan
Lamassu I,nan
Lamaštu I,nan
Lammaedin I,nan
Lammagaga I,nan
Lammasiga I,nan
Lansi I,nan
Lanše I,nan
Lapsare I,nan
Lapsia I,nan
Laqaya I,nan
Laqe I,nan
Laqip I,nan
Laqipu I,nan
Laqisu I,nan
Larak I,nan
Larakaya I,nan
Larsa I,nan
Laruba I,nan
Latubašinni I,nan
Laṣ I,nan
Libušu I,nan
Lipugu I,nan
Lu-Nanna I,nan
Lu-ahhe I,nan
Lu-ahi I,nan
Lu-ahuʾa I,nan
Lu-balaṭ I,nan
Lu-balṭat I,nan
Lu-dumununa I,nan
Lu-haʾil I,nan
Lu-ki-Mama I,nan
Lu-terik-šarrussu I,nan
Lu-šakin I,nan
Lu-šalim I,nan
Lubašanni-ilu I,nan
Lubbur-pi I,nan
Lubda I,nan
Luddin-ilu I,nan
Ludune I,nan
Lugal I,nan
Lugal-asal I,nan
LugalABa I,nan
LugalGUDGAZ I,nan
LugalGUDGUD I,nan
LugalX I,nan
LugalX II,nan
LugalXsukuda I,nan
Lugalabdubur I,nan
Lugalamašpae I,nan
Lugalamura I,nan
Lugalbaguba I,nan
Lugalbahar I,nan
Lugalbanda I,nan
Lugaldimerankia I,nan
Lugaldiŋira I,nan
Lugaldukuga I,nan
Lugaldurmah I,nan
Lugaledina I,nan
Lugalešbara I,nan
Lugalganasusu I,nan
Lugalgururugu I,nan
Lugalharrana I,nan
Lugalheŋal I,nan
Lugalira I,nan
Lugalkirizal I,nan
Lugalkisa I,nan
Lugalkušsusu I,nan
Lugalmarada I,nan
Lugalnirgal I,nan
Lugaludtešduga I,nan
Lugalura I,nan
Lugalušimsusu I,nan
Lugalšenšena I,nan
Lugalšuanna I,nan
Lugalšude I,nan
Luhayati I,nan
Luhurater I,nan
Luhutaya I,nan
Luhušu I,nan
Lulabbir-šarrussu I,nan
Lulal I,nan
Lulbû I,nan
Lulimu I,nan
Luliʾaya I,nan
Lulla-Bel I,nan
Lullupaya I,nan
Lumha I,nan
Luppudu I,nan
Luqaše I,nan
Luqu I,nan
Lurisite I,nan
Lussumu I,nan
Lutu I,nan
Luštammar-Adad I,nan
Luṣ-ana-nur-Šamaš I,nan
Luṣi-ana-nur-Erra I,nan
Luṣi-ana-nuri I,nan
Ma I,nan
Ma-Ana I,nan
Mabandaʾana I,nan
Madaktu I,nan
Madaya I,nan
Madayu I,nan
Madkiru I,nan
Madunu I,nan
Magan I,nan
Maganiṣi I,nan
Maganuba I,nan
Magidu I,nan
Magiru I,nan
Magrat-amassu I,nan
Magulana I,nan
Magur I,nan
Mahde I,nan
Mahite I,nan
Mahsi-Yau I,nan
Mahumaya I,nan
Makkame I,nan
Makru I,nan
Makurru I,nan
Malahu I,nan
Malak I,nan
Malakaya I,nan
Malaku I,nan
Malezazi I,nan
Malgadi I,nan
Malgium I,nan
Maliasu I,nan
Maliktu I,nan
Maliyati I,nan
Malukatu I,nan
Mami I,nan
Mammetu I,nan
Mamu I,nan
Mamu-iqbi I,nan
Mananu I,nan
Mandidi I,nan
Mandiraya I,nan
Maniʾ I,nan
Manna I,nan
Mannaipite I,nan
Mannaya I,nan
Manni I,nan
Mannu-dan-ana-ili I,nan
Mannu-iqapu I,nan
Mannu-iqbi I,nan
Mannu-iri I,nan
Mannu-ka-Seʾ I,nan
Mannu-ki I,nan
Mannu-ki-Adad I,nan
Mannu-ki-Adad-milki I,nan
Mannu-ki-Adda I,nan
Mannu-ki-Allaya I,nan
Mannu-ki-Arbail I,nan
Mannu-ki-Aššur I,nan
Mannu-ki-Aššur-leʾi I,nan
Mannu-ki-Delebat I,nan
Mannu-ki-Harran I,nan
Mannu-ki-Inurta I,nan
Mannu-ki-Issar I,nan
Mannu-ki-Issar-leʾi I,nan
Mannu-ki-Issaran I,nan
Mannu-ki-Libbali I,nan
Mannu-ki-Nabu I,nan
Mannu-ki-Ninua I,nan
Mannu-ki-abi I,nan
Mannu-ki-ahhe I,nan
Mannu-ki-ahi I,nan
Mannu-ki-ili I,nan
Mannu-ki-mat-Aššur I,nan
Mannu-ki-metina I,nan
Mannu-ki-ummi I,nan
Mannu-ki-šarri I,nan
Mannu-ki-ṣabi I,nan
Mannu-limmi I,nan
Mannu-lisamme I,nan
Mannu-lu-ahuʾa I,nan
Mannu-lu-šulmu I,nan
Manungal I,nan
Manzarne I,nan
Manzat I,nan
Manziniri I,nan
Manṣuati I,nan
Mar-Issar I,nan
Mar-Yakin I,nan
Mar-Zeri I,nan
Mar-biti I,nan
Mar-biʾdi I,nan
Mar-larim I,nan
Mar-lihia I,nan
Mar-nuri I,nan
Mar-samsi I,nan
Mar-suri I,nan
Mar-yateʾ I,nan
Mar-šarri-bel-ahhe I,nan
Mar-šarri-ilaʾi I,nan
Marad I,nan
Maraduwa I,nan
Marat-Anu I,nan
Marat-Eana I,nan
Marat-Sin I,nan
Marat-Uruk I,nan
Marda I,nan
Mardanu I,nan
Mardi I,nan
Mardiane I,nan
Mardu I,nan
Marduk I,nan
Marduk-X-X I,nan
Marduk-abu-uṣur I,nan
Marduk-ahu-eriba I,nan
Marduk-ahu-iddina I,nan
Marduk-apla-iddin I,nan
Marduk-apla-iddina I,nan
Marduk-bani-ahhi I,nan
Marduk-bani-apli I,nan
Marduk-belu-uṣur I,nan
Marduk-ereš I,nan
Marduk-eriba I,nan
Marduk-eṭir I,nan
Marduk-ibni I,nan
Marduk-iddina I,nan
Marduk-iqbi I,nan
Marduk-išmanni I,nan
Marduk-kišir I,nan
Marduk-leʾi I,nan
Marduk-nadin-ahhe I,nan
Marduk-nadin-apli I,nan
Marduk-nadin-šumi I,nan
Marduk-napšu I,nan
Marduk-naʾdi I,nan
Marduk-naṣir I,nan
Marduk-remanni I,nan
Marduk-ter I,nan
Marduk-uballiṭ I,nan
Marduk-zer-ibni I,nan
Marduk-zeru-ibni I,nan
Marduk-šadduni I,nan
Marduk-šakin-šumi I,nan
Marduk-šallim I,nan
Marduk-šallim-ahhe I,nan
Marduk-šallimanni I,nan
Marduk-šallimšunu I,nan
Marduk-šapik-zeri I,nan
Marduk-šarrani I,nan
Marduk-šarru-ibni I,nan
Marduk-šarru-uṣur I,nan
Marduk-šimanni I,nan
Marduk-šum-uṣur I,nan
Marduk-šumu-iddina I,nan
Marduk-šumu-iqiša I,nan
Marduk-šumu-uṣur I,nan
Marduka I,nan
Mardukati I,nan
Marduku I,nan
Mardukya I,nan
Marduʾa I,nan
Marhuha I,nan
Marhuhaya I,nan
Mari-Utu I,nan
Mariʾ I,nan
Marpada I,nan
Marpadaya I,nan
Marqasa I,nan
Marqasaya I,nan
Marqihita I,nan
Marratu I,nan
Marti I,nan
Martulaʾanki I,nan
Martuʾ I,nan
Marubištu I,nan
Maruru I,nan
Marutukku I,nan
Marṣiš-adallal I,nan
Massira I,nan
Mat-Akkadi I,nan
Mat-Aššur I,nan
Mat-rab-šaqe I,nan
Mat-tamti I,nan
Mati-ken I,nan
Matiʾ-Seʾ I,nan
Mawau I,nan
Mazamua I,nan
Mazugu I,nan
Maśaya I,nan
Maš I,nan
Mašatu I,nan
Mašdub I,nan
Mašgi I,nan
Maškakatu I,nan
Maškarit I,nan
Maškim-GI₆-lu-harran I,nan
Mašqaru I,nan
Mašŋi I,nan
Maʾabaya I,nan
Medudu I,nan
Medun I,nan
Medun II,nan
Meluhha I,nan
Menunesi I,nan
Mesaya I,nan
Mesimesi I,nan
Meslam I,nan
Meslamtaea I,nan
Messagunug I,nan
Metaku I,nan
Metunu I,nan
Meturna I,nan
Meṣate-ibni I,nan
Meṣaya I,nan
Milku-il I,nan
Minu-ahṭi-ana-ili I,nan
Minu-anna I,nan
Minu-epuš-ili I,nan
Minu-epuš-ilu I,nan
Minu-ulla I,nan
Minuʾ I,nan
Miqtu-adur I,nan
Misu I,nan
Mitum I,nan
Mitunu I,nan
Mituru I,nan
Mišaru I,nan
Miṭṭu I,nan
Muaddi I,nan
Muatiʾaba I,nan
Mudabirayu I,nan
Mudadi I,nan
Mudammiq-Aššur I,nan
Mudurna I,nan
Mudurnaya I,nan
Muhegale I,nan
Muhhi-ili-šapkaku I,nan
Muhra I,nan
Mukallim I,nan
Mukaʾʾin-šarrute-ilu I,nan
Mukin-Aššur I,nan
Mukin-apli I,nan
Mukin-zeri I,nan
Mukinnat-Issar I,nan
Mukkea I,nan
Mula I,nan
Mullissu I,nan
Mullissu-duru-uṣri I,nan
Mullissu-haṣinat I,nan
Mullissu-metu-balliṭ I,nan
Mullissu-ummi I,nan
Mullu-abu I,nan
Mumar-il I,nan
Mumaya I,nan
Mummu I,nan
Muneppiš-ilu I,nan
Munnabitu I,nan
Munusulšutag I,nan
Munuʾ I,nan
Muqalli I,nan
Muqallil-kabti I,nan
Muqquru I,nan
Mura I,nan
Murabbataš I,nan
Murasu I,nan
Murguziʾaški I,nan
Murim I,nan
Murumšanida I,nan
Musallamu I,nan
Musani I,nan
Musina-aplu-iddina I,nan
Musina-aplu-iddina II,nan
Muskaya I,nan
Musukayu I,nan
Mutakkil-Adad I,nan
Mutakkil-Aššur I,nan
Mutakkil-Marduk I,nan
Mutaqqin-Aššur I,nan
Mutaqqin-ilu I,nan
Mutianni I,nan
Mušaknišu I,nan
Mušallim-Adad I,nan
Mušallim-Anu I,nan
Mušallim-Aššur I,nan
Mušallim-Baba I,nan
Mušallim-Bel I,nan
Mušallim-Inurta I,nan
Mušallim-Issar I,nan
Mušallim-Marduk I,nan
Mušallim-Nergal I,nan
Mušallim-ilu I,nan
Mušda I,nan
Mušetiq-udde I,nan
Mušezib I,nan
Mušezib-Aššur I,nan
Mušezib-Bel I,nan
Mušezib-Marduk I,nan
Mušezib-Nabu I,nan
Mušezib-ilu I,nan
Mušezibu I,nan
Muši I,nan
Mušibaxxx I,nan
Mušibši I,nan
Muškenu-la-ahi I,nan
Mušmehuš I,nan
Muṣaṣir I,nan
